Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;MALUKU;BANDENG;2019;6.75;204,975
BUDIDAYA;MALUKU;BANDENG;2020;4.72;259,321
BUDIDAYA;MALUKU UTARA;BANDENG;2010;79.43;1191450
BUDIDAYA;MALUKU UTARA;BANDENG;2011;29.41;441,15
BUDIDAYA;MALUKU UTARA;BANDENG;2012;236.4;3546000
BUDIDAYA;MALUKU UTARA;BANDENG;2013;126;5057200
BUDIDAYA;MALUKU UTARA;BANDENG;2014;62.15;1553750
BUDIDAYA;MALUKU UTARA;BANDENG;2015;65.85;1975500
BUDIDAYA;MALUKU UTARA;BANDENG;2016;9.31;279,3
BUDIDAYA;MALUKU UTARA;BANDENG;2018;0.13;2,54
BUDIDAYA;MALUKU UTARA;BANDENG;2019;0.13;2,54
BUDIDAYA;MALUKU UTARA;BANDENG;2020;36.84;1850367
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2010;7097.06;106455900
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2011;10989.09;164836350
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2012;10635;186112500
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2013;13563.94;208429200
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2014;10052.52;221112600
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2015;13281.46;196151420
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2016;16813.86;336274200
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2017;46590.74;791623297
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2018;15283.47;199802470
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2019;23106.69;346245190
BUDIDAYA;NUSA TENGGARA BARAT;BANDENG;2020;14750.47;436927020
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2010;1022.82;28029400
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2011;1190.95;29773750
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2012;1491.12;26094600
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2013;1573.16;53235571
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2014;1894.55;67176951
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2015;3276.72;153937800
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2016;3073.8;107583000
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2017;8499.41;144413475
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2018;5163.33;193731295
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2019;934;38533080
BUDIDAYA;NUSA TENGGARA TIMUR;BANDENG;2020;3112.55;214613083
BUDIDAYA;PAPUA;BANDENG;2010;625.5;24998500
BUDIDAYA;PAPUA;BANDENG;2011;994.1;13668250
BUDIDAYA;PAPUA;BANDENG;2012;1166.7;17500500
BUDIDAYA;PAPUA;BANDENG;2013;1237.1;37141000
BUDIDAYA;PAPUA;BANDENG;2014;951.3;29485475
BUDIDAYA;PAPUA;BANDENG;2015;1531.6;52692400
BUDIDAYA;PAPUA;BANDENG;2016;1335.3;45989168
BUDIDAYA;PAPUA;BANDENG;2017;414.81;7048020
BUDIDAYA;PAPUA;BANDENG;2018;1363.67;40471663
BUDIDAYA;PAPUA;BANDENG;2019;2514.98;71789080
