Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;SUMATERA BARAT;LELE;2016;36757.37;659331660
BUDIDAYA;SUMATERA BARAT;LELE;2017;37744.64;655624449
BUDIDAYA;SUMATERA BARAT;LELE;2018;41548.72;695046117
BUDIDAYA;SUMATERA BARAT;LELE;2019;50407.11;890727578
BUDIDAYA;SUMATERA BARAT;LELE;2020;49572.45;988403247
BUDIDAYA;SUMATERA SELATAN;LELE;2010;2514.7;36246500
BUDIDAYA;SUMATERA SELATAN;LELE;2011;7796.7;111538400
BUDIDAYA;SUMATERA SELATAN;LELE;2012;23941;335174000
BUDIDAYA;SUMATERA SELATAN;LELE;2013;24328;274880200
BUDIDAYA;SUMATERA SELATAN;LELE;2014;37818;520813800
BUDIDAYA;SUMATERA SELATAN;LELE;2015;44662.18;610716640
BUDIDAYA;SUMATERA SELATAN;LELE;2016;36200;511538355
BUDIDAYA;SUMATERA SELATAN;LELE;2017;136468.72;2370461719
BUDIDAYA;SUMATERA SELATAN;LELE;2018;62007.71;1304216104
BUDIDAYA;SUMATERA SELATAN;LELE;2019;103122.31;1682703083
BUDIDAYA;SUMATERA SELATAN;LELE;2020;55417.18;920961563
BUDIDAYA;SUMATERA UTARA;LELE;2010;3636.6;54339800
BUDIDAYA;SUMATERA UTARA;LELE;2011;14264.2;171320400
BUDIDAYA;SUMATERA UTARA;LELE;2012;21831.5;240146500
BUDIDAYA;SUMATERA UTARA;LELE;2013;27128;304875897
BUDIDAYA;SUMATERA UTARA;LELE;2014;28636.4;446276015
BUDIDAYA;SUMATERA UTARA;LELE;2015;30549.06;714015790
BUDIDAYA;SUMATERA UTARA;LELE;2016;38703.3;961714180
BUDIDAYA;SUMATERA UTARA;LELE;2017;58535.61;1016763563
BUDIDAYA;SUMATERA UTARA;LELE;2018;124946.79;2554003306
BUDIDAYA;SUMATERA UTARA;LELE;2019;150941.77;3357138249
BUDIDAYA;SUMATERA UTARA;LELE;2020;47460.64;1375162417
